2024-09-15 23:02:05.883 [info] Extension host with pid 43354 started
2024-09-15 23:02:05.894 [info] Lock '/home/ec2-user/.vscode-server/data/User/workspaceStorage/1b5242260523937b771deffc63755a91/vscode.lock': Lock acquired.
2024-09-15 23:02:14.742 [info] ExtensionService#_doActivateExtension vscode.git-base, startup: false, activationEvent: 'onLanguage:ignore'
2024-09-15 23:02:14.743 [info] ExtensionService#_doActivateExtension vscode.emmet, startup: false, activationEvent: 'onLanguage'
2024-09-15 23:02:16.353 [info] ExtensionService#_doActivateExtension vscode.git, startup: false, activationEvent: '*'
2024-09-15 23:02:16.353 [info] ExtensionService#_doActivateExtension vscode.github, startup: false, activationEvent: '*'
2024-09-15 23:02:18.737 [info] Eager extensions activated
2024-09-15 23:02:18.738 [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch, startup: false, activationEvent: 'onStartupFinished'
2024-09-15 23:02:18.738 [info] ExtensionService#_doActivateExtension vscode.merge-conflict, startup: false, activationEvent: 'onStartupFinished'
2024-09-15 23:07:05.831 [info] ExtensionService#_doActivateExtension vscode.npm, startup: false, activationEvent: 'onTerminalQuickFixRequest:ms-vscode.npm-command'
2024-09-15 23:07:11.795 [info] ExtensionService#_doActivateExtension vscode.configuration-editing, startup: false, activationEvent: 'onLanguage:json'
2024-09-15 23:07:11.796 [info] ExtensionService#_doActivateExtension vscode.extension-editing, startup: false, activationEvent: 'onLanguage:json'
2024-09-15 23:07:11.796 [info] ExtensionService#_doActivateExtension vscode.json-language-features, startup: false, activationEvent: 'onLanguage:json'
